Name,Party,State,District,Year,Incumbent,Winner,Raised,Spent,Cash on Hand,Small Individual Contributions,Large Individual Contributions,PAC Contributions,Candidate self-financing,Other,Full Disclosure,Incomplete Disclosure,No Disclosure
Joan Farr,I,OK,S2,2020,False,False,6897,10491,-3595,501,1500,0,4896,0,0,0,1500
April Nesbit,I,OK,S2,2020,False,False,3349,3312,36,99,1050,0,2200,0,1050,0,0
Kevin Hern,R,OK,01,2020,True,True,1094104,830366,345198,41601,757149,598101,0,-302747,673035,9100,32375
Kojo Asamoa-Caesar,D,OK,01,2020,False,False,157355,173928,-5637,70291,88318,9696,0,-10950,69640,5768,5769
Markwayne Mullin,R,OK,02,2020,True,True,1660206,1077939,610310,21814,342700,1086125,0,209567,451725,4300,13700
Danyell Lanier,D,OK,02,2020,False,False,41730,41722,7,22325,11340,3625,3839,600,11340,0,0
Frank D Lucas,R,OK,03,2020,True,True,872749,1036145,282179,8765,120750,750250,0,-7016,94650,0,0
Tom Cole,R,OK,04,2020,True,True,1812530,1753697,1277189,16400,813125,985100,0,-2095,723925,0,41350
Mary Brannon,D,OK,04,2020,False,False,-2084,1599,1734,0,140,0,0,-2224,0,0,0
Kendra Horn,D,OK,05,2020,True,False,5949800,5946195,103097,766188,3714148,947237,0,522227,2196544,26600,6558
Stephanie Bice,R,OK,05,2020,False,True,3720520,3508929,211591,740051,2269880,536350,0,174239,1831732,14650,20470
Jeff Merkley,D,OR,S1,2020,True,True,11298422,8125261,3805561,5190671,5003273,755251,0,349222,2182203,4136,16605
Jo Rae Perkins,R,OR,S1,2020,False,False,139936,123138,16822,54076,55149,5500,12359,12853,25095,0,1008
Suzanne Bonamici,D,OR,01,2020,True,True,959223,864627,553346,105109,296789,560000,0,-2674,153257,0,0
Chris Christensen,R,OR,01,2020,False,False,144,672,0,44,200,0,0,-100,200,0,0
Cliff Bentz,R,OR,02,2020,False,True,1450780,1361727,89054,180354,858124,310357,101900,45,858938,5050,1500
Alex Spenser,D,OR,02,2020,False,False,20640,5089,15552,8114,5638,6800,13,75,365,0,0
Earl Blumenauer,D,OR,03,2020,True,True,1813365,1948453,757345,131238,591412,1005837,0,84877,610380,14460,10554
Joanna Harbour,R,OR,03,2020,False,False,17681,14502,3179,2489,9830,5362,0,0,8750,500,0
Peter DeFazio,D,OR,04,2020,True,True,5182843,5781074,517595,1108950,1938680,2224958,0,-89745,1646954,14145,10250
Alek Skarlatos,R,OR,04,2020,False,False,5454621,5331264,123357,3633077,1472542,122575,0,226427,1284889,20050,81570
Kurt Schrader,D,OR,05,2020,True,True,2018692,1922073,2516499,38798,394968,1504607,0,80319,322190,1000,2500
Amy Ryan Courser,R,OR,05,2020,False,False,231624,221041,10471,132614,92811,6700,0,-501,76722,500,15289
Brian Fitzpatrick,R,PA,01,2020,True,True,4203825,4272135,48325,295248,1575847,1807532,0,525198,1774701,45274,78290
Christina Finello,D,PA,01,2020,False,False,2336814,2329748,7066,640196,1441019,247143,4220,4236,1154455,7280,0
Brendan Boyle,D,PA,02,2020,True,True,1556650,756317,1468741,23796,381701,1123520,0,27634,304428,500,5000
Dwight Evans,D,PA,03,2020,True,True,942386,781265,182602,50584,225667,663356,0,2779,146661,0,0
Madeleine Dean,D,PA,04,2020,True,True,1435995,1005928,574594,152051,635116,782492,0,-133663,476138,430,250
Kathy Barnette,R,PA,04,2020,False,False,1000389,884640,115749,367224,561987,39005,2370,29802,227024,3000,18570
Joe Tarshish,I,PA,04,2020,False,False,24038,23738,300,34,0,0,24004,0,0,0,0
Mary Gay Scanlon,D,PA,05,2020,True,True,1455042,1350276,218679,259110,818103,379001,0,-1172,367374,1350,12000
Dasha Pruett,R,PA,05,2020,False,False,105146,82437,22709,23219,67877,5250,800,8000,57705,0,250
Chrissy Houlahan,D,PA,06,2020,True,True,3484484,1327283,3109257,321606,1788366,1020063,0,354449,1477325,1050,12122
John Emmons,R,PA,06,2020,False,False,608859,601390,7469,95689,286345,21500,205325,0,155853,1450,30921
John McHugh,I,PA,06,2020,False,False,6165,4410,3242,526,5639,0,0,0,5394,0,245
Susan Wild,D,PA,07,2020,True,True,4581056,4528267,78696,594047,2823327,1027682,25,135975,1944056,21990,22220
Matt Cartwright,D,PA,08,2020,True,True,3885136,4144070,170866,250983,2168171,1173513,0,292470,1587806,17129,37949
Jim Bognet,R,PA,08,2020,False,False,1519527,1386040,133487,168739,995569,189284,10002,155933,602024,17186,38516
Dan Meuser,R,PA,09,2020,True,True,1071961,944010,140610,12113,496070,500104,10000,53675,708943,13700,9400
Gary Wegman,D,PA,09,2020,False,False,188787,187348,1600,32356,55814,5950,115833,-21165,15731,0,28913
Scott Perry,R,PA,10,2020,True,False,3956481,3839197,171329,1329513,1940568,723680,0,-37281,1999776,22423,49604
Eugene DePasquale,D,PA,10,2020,False,False,4534580,4526684,7896,775748,2912118,690432,775,155508,2653228,43959,97714
Lloyd Smucker,R,PA,11,2020,True,True,1349318,662704,696775,17562,408858,757550,0,165349,495569,4070,99950
Sarah Hammond,D,PA,11,2020,False,False,28733,23458,5287,16631,9054,674,424,1950,5704,0,0
Fred Keller,R,PA,12,2020,True,True,1541938,1066158,475779,300701,758665,445713,2900,33959,718693,0,9400
Lee Griffin,D,PA,12,2020,False,False,45850,44571,1279,17403,19658,3820,39,4930,18692,670,0
Liz Terwilliger,L,PA,12,2020,False,False,6211,5937,3121,1983,1668,0,2560,0,1408,0,0
John Joyce,R,PA,13,2020,True,True,1119769,461229,718883,15392,315250,657350,0,131777,407295,2000,35250
Todd Rowley,D,PA,13,2020,False,False,60348,67527,253,22288,35430,1,2629,0,26319,0,4568
Guy Reschenthaler,R,PA,14,2020,True,True,2250282,1580488,687580,744185,736194,773715,0,-3812,454217,5105,116587
Bill Marx,D,PA,14,2020,False,False,60403,45959,14444,26801,25852,5000,0,2750,11032,0,3800
Glenn Thompson,R,PA,15,2020,True,True,1700061,1839073,93177,80234,737948,806081,0,75798,736132,16900,28490
Mike Kelly,R,PA,16,2020,True,True,2239488,1319340,958525,31840,605065,1472701,0,129881,704697,4200,49350
Kristy Gnibus,D,PA,16,2020,False,False,584205,579453,4751,207948,300247,78775,2482,-5247,129388,0,0
